Testing numbers_000001.png . . . 32223324 → 32223364 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000024.png . . . 45388 → 95388 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000025.png . . . 682 → 682 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000026.png . . . 82846 → 82846 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000027.png . . . 15109 → 15109 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000028.png . . . 02688582 → 020288582 | 6/8 · 75.00% | [WRONG]
Testing numbers_000029.png . . . 88564007 → 88564002 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000030.png . . . 657909 → 657908 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000031.png . . . 135 → 135 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000032.png . . . 5979 → 5978 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000033.png . . . 14169698 → 14168648 | 6/8 · 75.00% | [WRONG]
Testing numbers_000034.png . . . 296 → 486 | 1/3 · 33.33% | [WRONG]
Testing numbers_000035.png . . . 92551 → 92501 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000036.png . . . 6676277 → 6676277 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000037.png . . . 7122828 → 2122858 | 5/7 · 71.43% | [WRONG]
Testing numbers_000038.png . . . 855 → 825 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000039.png . . . 78630 → 78638 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000040.png . . . 184 → 187 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000041.png . . . 4720 → 4220 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000042.png . . . 78155 → 28185 | 3/5 · 60.00% | [WRONG]
Testing numbers_000043.png . . . 91116560 → 21116560 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000044.png . . . 380344 → 380341 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000045.png . . . 90818070 → 40818070 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000046.png . . . 234 → 234 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000047.png . . . 1924 → 1924 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000048.png . . . 2397923 → 2372823 | 4/7 · 57.14% | [WRONG]
Testing numbers_000049.png . . . 27196258 → 23146258 | 6/8 · 75.00% | [WRONG]
Testing numbers_000050.png . . . 1165 → 1165 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000051.png . . . 6425 → 6485 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000052.png . . . 86583 → 86083 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000053.png . . . 1565 → 1865 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000054.png . . . 2565 → 20065 | 2/4 · 50.00% | [WRONG]
Testing numbers_000055.png . . . 0353032 → 0353052 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000056.png . . . 905 → 405 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000057.png . . . 27462 → 27468 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000058.png . . . 3224619 → 3224619 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000059.png . . . 7686921 → 7686971 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000060.png . . . 03032811 → 03032811 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000061.png . . . 11140 → 11140 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000062.png . . . 204 → 204 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000063.png . . . 319060 → 319060 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000064.png . . . 262 → 262 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000065.png . . . 87724 → 83724 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000066.png . . . 052329 → 002323 | 4/6 · 66.67% | [WRONG]
Testing numbers_000067.png . . . 3171427 → 3171422 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000068.png . . . 016 → 016 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000069.png . . . 77105 → 23105 | 3/5 · 60.00% | [WRONG]
Testing numbers_000070.png . . . 0362 → 0362 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000071.png . . . 647 → 642 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000072.png . . . 022 → 022 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000073.png . . . 2248 → 2248 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000074.png . . . 446292 → 446292 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000075.png . . . 95458 → 95458 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000076.png . . . 1080 → 1080 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000077.png . . . 793207 → 793207 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000078.png . . . 5376924 → 5326924 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000079.png . . . 086 → 086 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000080.png . . . 657 → 657 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000081.png . . . 7226 → 2226 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000082.png . . . 529695 → 529685 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000083.png . . . 172 → 172 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000084.png . . . 3600 → 3600 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000085.png . . . 547250 → 547250 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000086.png . . . 2154662 → 2104662 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000087.png . . . 0233966 → 0233366 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000088.png . . . 8050 → 8050 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000089.png . . . 0952 → 0952 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000090.png . . . 05480 → 05480 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000091.png . . . 04456124 → 04456124 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000092.png . . . 4237548 → 4232548 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000093.png . . . 67374081 → 62324001 | 5/8 · 62.50% | [WRONG]
Testing numbers_000094.png . . . 510224 → 810224 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000095.png . . . 63562055 → 6356204562 | 5/8 · 62.50% | [WRONG]
Testing numbers_000096.png . . . 8960162 → 8860562 | 5/7 · 71.43% | [WRONG]
Testing numbers_000097.png . . . 801869 → 821864 | 4/6 · 66.67% | [WRONG]
Testing numbers_000098.png . . . 9665726 → 8665926 | 5/7 · 71.43% | [WRONG]
Testing numbers_000099.png . . . 88656510 → 88656510 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000100.png . . . 977 → 327 | 1/3 · 33.33% | [WRONG]
Testing numbers_000101.png . . . 252 → 252 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000102.png . . . 13613598 → 13613888 | 6/8 · 75.00% | [WRONG]
Testing numbers_000103.png . . . 35345 → 35345 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000104.png . . . 1159 → 1159 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000105.png . . . 27983913 → 27983813 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000106.png . . . 290033 → 240033 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000107.png . . . 188 → 188 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000108.png . . . 79649 → 79649 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000109.png . . . 93054 → 83084 | 3/5 · 60.00% | [WRONG]
Testing numbers_000110.png . . . 00422618 → 00422618 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000111.png . . . 4437 → 4432 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000112.png . . . 49699051 → 408673055 | 3/8 · 37.50% | [WRONG]
Testing numbers_000113.png . . . 45916740 → 40816240 | 5/8 · 62.50% | [WRONG]
Testing numbers_000114.png . . . 088635 → 088635 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000115.png . . . 418 → 1118 | 1/3 · 33.33% | [WRONG]
Testing numbers_000116.png . . . 2280052 → 2280052 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000117.png . . . 589 → 5151 | 0/3 · 0.00% | [WRONG]
Testing numbers_000118.png . . . 136315 → 136365 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000119.png . . . 748968 → 748868 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000120.png . . . 54403 → 54103 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000121.png . . . 99466558 → 98466588 | 6/8 · 75.00% | [WRONG]
Testing numbers_000122.png . . . 05772 → 02722 | 3/5 · 60.00% | [WRONG]
Testing numbers_000123.png . . . 5137779 → 5132228 | 3/7 · 42.86% | [WRONG]
Testing numbers_000124.png . . . 687 → 682 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000125.png . . . 61470044 → 61474004 | 6/8 · 75.00% | [WRONG]
Testing numbers_000126.png . . . 870 → 820 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000127.png . . . 404 → 406 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000128.png . . . 98840590 → 988402780 | 5/8 · 62.50% | [WRONG]
Testing numbers_000129.png . . . 435471 → 435421 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000130.png . . . 541775 → 541775 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000131.png . . . 29506 → 29506 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000132.png . . . 65884493 → 65884443 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000133.png . . . 15887 → 05807 | 3/5 · 60.00% | [WRONG]
Testing numbers_000134.png . . . 11298089 → 11298089 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000135.png . . . 722 → 722 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000136.png . . . 313513 → 313513 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000137.png . . . 392 → 382 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000138.png . . . 054698 → 054688 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000139.png . . . 65899503 → 65888803 | 5/8 · 62.50% | [WRONG]
Testing numbers_000140.png . . . 0021 → 8028 | 2/4 · 50.00% | [WRONG]
Testing numbers_000141.png . . . 918 → 913 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000142.png . . . 5043287 → 104287 | 5/7 · 71.43% | [WRONG]
Testing numbers_000143.png . . . 52674165 → 52624168 | 6/8 · 75.00% | [WRONG]
Testing numbers_000144.png . . . 40522 → 40532 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000145.png . . . 50503 → 50503 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000146.png . . . 451614 → 451614 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000147.png . . . 59321 → 58321 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000148.png . . . 366608 → 366688 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000149.png . . . 86351511 → 86351511 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000150.png . . . 392828 → 392828 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000151.png . . . 44875750 → 49835250 | 5/8 · 62.50% | [WRONG]
Testing numbers_000152.png . . . 98473 → 83473 | 3/5 · 60.00% | [WRONG]
Testing numbers_000153.png . . . 34323855 → 34323855 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000154.png . . . 1529 → 1539 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000155.png . . . 33987 → 33982 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000156.png . . . 842 → 842 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000157.png . . . 26254104 → 26253104 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000158.png . . . 7722 → 2722 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000159.png . . . 8361431 → 8361431 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000160.png . . . 197130 → 192130 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000161.png . . . 73945526 → 73845526 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000162.png . . . 881619 → 881618 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000163.png . . . 317024 → 317028 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000164.png . . . 80243 → 80243 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000165.png . . . 79288600 → 88288600 | 6/8 · 75.00% | [WRONG]
Testing numbers_000166.png . . . 8837551 → 8137381 | 4/7 · 57.14% | [WRONG]
Testing numbers_000167.png . . . 0707 → 0207 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000168.png . . . 2268 → 2269 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000169.png . . . 9107809 → 9107804 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000170.png . . . 3717436 → 3718436 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000171.png . . . 9814294 → 8814294 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000172.png . . . 69790 → 69290 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000173.png . . . 7010 → 7010 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000174.png . . . 64644750 → 64644750 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000175.png . . . 31769393 → 31767393 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000176.png . . . 787 → 782 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000177.png . . . 786 → 786 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000178.png . . . 49583255 → 49583253 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000179.png . . . 332613 → 332613 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000180.png . . . 2318425 → 2318425 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000181.png . . . 389081 → 389081 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000182.png . . . 93465 → 93465 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000183.png . . . 8199 → 8188 | 2/4 · 50.00% | [WRONG]
Testing numbers_000184.png . . . 7353 → 7383 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000185.png . . . 861 → 861 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000186.png . . . 05983 → 05883 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000187.png . . . 7635678 → 3635678 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000188.png . . . 870438 → 820438 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000189.png . . . 44820 → 44820 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000190.png . . . 115 → 115 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000191.png . . . 94695 → 84692 | 3/5 · 60.00% | [WRONG]
Testing numbers_000192.png . . . 62563 → 62563 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000193.png . . . 8728101 → 8228101 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000194.png . . . 0201 → 0201 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000195.png . . . 320004 → 320004 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000196.png . . . 73015 → 73015 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000197.png . . . 039826 → 038806 | 4/6 · 66.67% | [WRONG]
Testing numbers_000198.png . . . 6077 → 6032 | 2/4 · 50.00% | [WRONG]
Testing numbers_000199.png . . . 0998 → 0998 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000200.png . . . 8363 → 8363 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000201.png . . . 4127382 → 4127382 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000202.png . . . 9119339 → 8118338 | 4/7 · 57.14% | [WRONG]
Testing numbers_000203.png . . . 921 → 821 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000204.png . . . 5864778 → 5864278 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000205.png . . . 27586384 → 27586384 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000206.png . . . 8798655 → 8788655 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000207.png . . . 405 → 405 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000208.png . . . 32481 → 32451 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000209.png . . . 288709 → 288208 | 4/6 · 66.67% | [WRONG]
Testing numbers_000210.png . . . 77015237 → 22015232 | 5/8 · 62.50% | [WRONG]
Testing numbers_000211.png . . . 7578986 → 2578886 | 5/7 · 71.43% | [WRONG]
Testing numbers_000212.png . . . 53583477 → 53583412 | 6/8 · 75.00% | [WRONG]
Testing numbers_000213.png . . . 5148 → 5848 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000214.png . . . 2945581 → 2895581 | 5/7 · 71.43% | [WRONG]
Testing numbers_000215.png . . . 70368 → 70368 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000216.png . . . 9812 → 9812 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000217.png . . . 92867 → 92862 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000218.png . . . 426892 → 426872 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000219.png . . . 01520 → 01520 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000220.png . . . 19744 → 19744 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000221.png . . . 430805 → 430805 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000222.png . . . 8380074 → 8380034 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000223.png . . . 140559 → 140257 | 4/6 · 66.67% | [WRONG]
Testing numbers_000224.png . . . 35284 → 35284 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000225.png . . . 0088528 → 0088828 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000226.png . . . 82750596 → 82250586 | 6/8 · 75.00% | [WRONG]
Testing numbers_000227.png . . . 777 → 282 | 0/3 · 0.00% | [WRONG]
Testing numbers_000228.png . . . 1548945 → 1548445 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000229.png . . . 026 → 020 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000230.png . . . 597853 → 597803 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000231.png . . . 449922 → 449922 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000232.png . . . 88993911 → 88893411 | 6/8 · 75.00% | [WRONG]
Testing numbers_000233.png . . . 506 → 506 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000234.png . . . 944462 → 844452 | 4/6 · 66.67% | [WRONG]
Testing numbers_000235.png . . . 1821659 → 1821658 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000236.png . . . 3059 → 3058 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000237.png . . . 5443 → 5443 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000238.png . . . 30977 → 30977 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000239.png . . . 2630720 → 2630220 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000240.png . . . 806 → 806 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000241.png . . . 0464 → 0864 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000242.png . . . 4391 → 4391 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000243.png . . . 46863382 → 468632257 | 4/8 · 50.00% | [WRONG]
Testing numbers_000244.png . . . 31418581 → 31618881 | 6/8 · 75.00% | [WRONG]
Testing numbers_000245.png . . . 329893 → 329873 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000246.png . . . 9159550 → 8189550 | 5/7 · 71.43% | [WRONG]
Testing numbers_000247.png . . . 93283 → 93283 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000248.png . . . 4913224 → 4813224 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000249.png . . . 976 → 826 | 1/3 · 33.33% | [WRONG]
Testing numbers_000250.png . . . 556847 → 556847 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000251.png . . . 50882 → 80882 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000252.png . . . 044 → 044 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000253.png . . . 2671 → 2621 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000254.png . . . 200 → 200 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000255.png . . . 364886 → 364186 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000256.png . . . 4771 → 4731 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000257.png . . . 06827768 → 06822268 | 6/8 · 75.00% | [WRONG]
Testing numbers_000258.png . . . 9543 → 9545 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000259.png . . . 952764 → 852264 | 4/6 · 66.67% | [WRONG]
Testing numbers_000260.png . . . 198435 → 188336 | 3/6 · 50.00% | [WRONG]
Testing numbers_000261.png . . . 8592 → 8582 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000262.png . . . 60580 → 60580 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000263.png . . . 83517 → 83517 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000264.png . . . 037 → 0737 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000265.png . . . 3851734 → 3851334 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000266.png . . . 22232 → 22232 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000267.png . . . 83540770 → 53540720 | 6/8 · 75.00% | [WRONG]
Testing numbers_000268.png . . . 2074982 → 9408110182 | 0/7 · 0.00% | [WRONG]
Testing numbers_000269.png . . . 766 → 366 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000270.png . . . 644 → 629 | 1/3 · 33.33% | [WRONG]
Testing numbers_000271.png . . . 368002 → 368002 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000272.png . . . 39236332 → 39230332 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000273.png . . . 479237 → 428232 | 3/6 · 50.00% | [WRONG]
Testing numbers_000274.png . . . 23251 → 23206 | 3/5 · 60.00% | [WRONG]
Testing numbers_000275.png . . . 5168 → 5165 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000276.png . . . 73207 → 73202 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000277.png . . . 9806 → 9806 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000278.png . . . 51032 → 51032 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000279.png . . . 251040 → 251040 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000280.png . . . 643 → 643 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000281.png . . . 7869951 → 7869951 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000282.png . . . 513 → 513 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000283.png . . . 22699 → 22699 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000284.png . . . 33383207 → 33383207 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000285.png . . . 791 → 271 | 1/3 · 33.33% | [WRONG]
Testing numbers_000286.png . . . 9025868 → 9025868 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000287.png . . . 815696 → 885686 | 4/6 · 66.67% | [WRONG]
Testing numbers_000288.png . . . 2030 → 2030 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000289.png . . . 5473 → 5773 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000290.png . . . 9504 → 9506 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000291.png . . . 01325 → 01325 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000292.png . . . 1563318 → 1563318 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000293.png . . . 2211598 → 2211598 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000294.png . . . 14958858 → 14858858 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000295.png . . . 680276 → 600276 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000296.png . . . 6118240 → 6118240 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000297.png . . . 368 → 368 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000298.png . . . 327081 → 327081 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000299.png . . . 31932841 → 31832841 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000300.png . . . 00869 → 00869 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000301.png . . . 330434 → 330839 | 4/6 · 66.67% | [WRONG]
Testing numbers_000302.png . . . 68425 → 68425 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000303.png . . . 767573 → 367573 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000304.png . . . 5416839 → 02716839 | 4/7 · 57.14% | [WRONG]
Testing numbers_000305.png . . . 5862 → 5862 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000306.png . . . 86362564 → 864262564 | 6/8 · 75.00% | [WRONG]
Testing numbers_000307.png . . . 195 → 175 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000308.png . . . 136998 → 136998 | 6/6 · 100.00% | [CORRECT]
