Testing numbers_000001.png . . . 32223324 → 38227364 | 5/8 · 62.50% | [WRONG]
Testing numbers_000024.png . . . 45388 → 95388 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000025.png . . . 682 → 682 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000026.png . . . 82846 → 82346 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000027.png . . . 15109 → 15103 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000028.png . . . 02688582 → 020288582 | 6/8 · 75.00% | [WRONG]
Testing numbers_000029.png . . . 88564007 → 88564008 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000030.png . . . 657909 → 653908 | 4/6 · 66.67% | [WRONG]
Testing numbers_000031.png . . . 135 → 135 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000032.png . . . 5979 → 5928 | 2/4 · 50.00% | [WRONG]
Testing numbers_000033.png . . . 14169698 → 14128688 | 5/8 · 62.50% | [WRONG]
Testing numbers_000034.png . . . 296 → 486 | 1/3 · 33.33% | [WRONG]
Testing numbers_000035.png . . . 92551 → 82001 | 2/5 · 40.00% | [WRONG]
Testing numbers_000036.png . . . 6676277 → 6632298 | 3/7 · 42.86% | [WRONG]
Testing numbers_000037.png . . . 7122828 → 3122802 | 4/7 · 57.14% | [WRONG]
Testing numbers_000038.png . . . 855 → 805 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000039.png . . . 78630 → 38639 | 3/5 · 60.00% | [WRONG]
Testing numbers_000040.png . . . 184 → 187 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000041.png . . . 4720 → 8820 | 2/4 · 50.00% | [WRONG]
Testing numbers_000042.png . . . 78155 → 38185 | 3/5 · 60.00% | [WRONG]
Testing numbers_000043.png . . . 91116560 → 81186060 | 5/8 · 62.50% | [WRONG]
Testing numbers_000044.png . . . 380344 → 380548 | 4/6 · 66.67% | [WRONG]
Testing numbers_000045.png . . . 90818070 → 70818070 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000046.png . . . 234 → 239 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000047.png . . . 1924 → 8724 | 2/4 · 50.00% | [WRONG]
Testing numbers_000048.png . . . 2397923 → 2373853 | 3/7 · 42.86% | [WRONG]
Testing numbers_000049.png . . . 27196258 → 23136258 | 6/8 · 75.00% | [WRONG]
Testing numbers_000050.png . . . 1165 → 1660 | 2/4 · 50.00% | [WRONG]
Testing numbers_000051.png . . . 6425 → 6488 | 2/4 · 50.00% | [WRONG]
Testing numbers_000052.png . . . 86583 → 86583 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000053.png . . . 1565 → 1865 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000054.png . . . 2565 → 76505 | 1/4 · 25.00% | [WRONG]
Testing numbers_000055.png . . . 0353032 → 0353057 | 5/7 · 71.43% | [WRONG]
Testing numbers_000056.png . . . 905 → 405 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000057.png . . . 27462 → 22868 | 2/5 · 40.00% | [WRONG]
Testing numbers_000058.png . . . 3224619 → 3224689 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000059.png . . . 7686921 → 7656291 | 4/7 · 57.14% | [WRONG]
Testing numbers_000060.png . . . 03032811 → 03032811 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000061.png . . . 11140 → 11140 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000062.png . . . 204 → 204 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000063.png . . . 319060 → 317060 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000064.png . . . 262 → 268 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000065.png . . . 87724 → 53724 | 3/5 · 60.00% | [WRONG]
Testing numbers_000066.png . . . 052329 → 002323 | 4/6 · 66.67% | [WRONG]
Testing numbers_000067.png . . . 3171427 → 3171423 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000068.png . . . 016 → 016 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000069.png . . . 77105 → 33805 | 2/5 · 40.00% | [WRONG]
Testing numbers_000070.png . . . 0362 → 0362 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000071.png . . . 647 → 642 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000072.png . . . 022 → 022 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000073.png . . . 2248 → 2248 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000074.png . . . 446292 → 446292 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000075.png . . . 95458 → 95458 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000076.png . . . 1080 → 8057 | 1/4 · 25.00% | [WRONG]
Testing numbers_000077.png . . . 793207 → 793203 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000078.png . . . 5376924 → 5336828 | 4/7 · 57.14% | [WRONG]
Testing numbers_000079.png . . . 086 → 086 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000080.png . . . 657 → 653 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000081.png . . . 7226 → 8226 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000082.png . . . 529695 → 529680 | 4/6 · 66.67% | [WRONG]
Testing numbers_000083.png . . . 172 → 132 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000084.png . . . 3600 → 3600 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000085.png . . . 547250 → 543250 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000086.png . . . 2154662 → 9104662 | 5/7 · 71.43% | [WRONG]
Testing numbers_000087.png . . . 0233966 → 0233866 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000088.png . . . 8050 → 8030 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000089.png . . . 0952 → 0952 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000090.png . . . 05480 → 08980 | 3/5 · 60.00% | [WRONG]
Testing numbers_000091.png . . . 04456124 → 04456829 | 6/8 · 75.00% | [WRONG]
Testing numbers_000092.png . . . 4237548 → 4233548 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000093.png . . . 67374081 → 62384008 | 4/8 · 50.00% | [WRONG]
Testing numbers_000094.png . . . 510224 → 510224 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000095.png . . . 63562055 → 6356204062 | 4/8 · 50.00% | [WRONG]
Testing numbers_000096.png . . . 8960162 → 8850662 | 4/7 · 57.14% | [WRONG]
Testing numbers_000097.png . . . 801869 → 821864 | 4/6 · 66.67% | [WRONG]
Testing numbers_000098.png . . . 9665726 → 8665726 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000099.png . . . 88656510 → 88652010 | 6/8 · 75.00% | [WRONG]
Testing numbers_000100.png . . . 977 → 323 | 0/3 · 0.00% | [WRONG]
Testing numbers_000101.png . . . 252 → 202 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000102.png . . . 13613598 → 13613588 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000103.png . . . 35345 → 35345 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000104.png . . . 1159 → 1188 | 2/4 · 50.00% | [WRONG]
Testing numbers_000105.png . . . 27983913 → 23983813 | 6/8 · 75.00% | [WRONG]
Testing numbers_000106.png . . . 290033 → 240033 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000107.png . . . 188 → 185 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000108.png . . . 79649 → 79647 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000109.png . . . 93054 → 83084 | 3/5 · 60.00% | [WRONG]
Testing numbers_000110.png . . . 00422618 → 00412518 | 6/8 · 75.00% | [WRONG]
Testing numbers_000111.png . . . 4437 → 2438 | 2/4 · 50.00% | [WRONG]
Testing numbers_000112.png . . . 49699051 → 801673058 | 2/8 · 25.00% | [WRONG]
Testing numbers_000113.png . . . 45916740 → 40816840 | 5/8 · 62.50% | [WRONG]
Testing numbers_000114.png . . . 088635 → 088633 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000115.png . . . 418 → 8118 | 1/3 · 33.33% | [WRONG]
Testing numbers_000116.png . . . 2280052 → 2280002 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000117.png . . . 589 → 5851 | 1/3 · 33.33% | [WRONG]
Testing numbers_000118.png . . . 136315 → 136385 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000119.png . . . 748968 → 848808 | 3/6 · 50.00% | [WRONG]
Testing numbers_000120.png . . . 54403 → 59809 | 2/5 · 40.00% | [WRONG]
Testing numbers_000121.png . . . 99466558 → 98466588 | 6/8 · 75.00% | [WRONG]
Testing numbers_000122.png . . . 05772 → 02732 | 3/5 · 60.00% | [WRONG]
Testing numbers_000123.png . . . 5137779 → 5132828 | 3/7 · 42.86% | [WRONG]
Testing numbers_000124.png . . . 687 → 682 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000125.png . . . 61470044 → 61474068 | 5/8 · 62.50% | [WRONG]
Testing numbers_000126.png . . . 870 → 880 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000127.png . . . 404 → 408 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000128.png . . . 98840590 → 988403782 | 4/8 · 50.00% | [WRONG]
Testing numbers_000129.png . . . 435471 → 435431 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000130.png . . . 541775 → 341875 | 4/6 · 66.67% | [WRONG]
Testing numbers_000131.png . . . 29506 → 28506 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000132.png . . . 65884493 → 60884443 | 6/8 · 75.00% | [WRONG]
Testing numbers_000133.png . . . 15887 → 04803 | 1/5 · 20.00% | [WRONG]
Testing numbers_000134.png . . . 11298089 → 11298083 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000135.png . . . 722 → 322 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000136.png . . . 313513 → 313513 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000137.png . . . 392 → 382 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000138.png . . . 054698 → 058688 | 4/6 · 66.67% | [WRONG]
Testing numbers_000139.png . . . 65899503 → 65888503 | 6/8 · 75.00% | [WRONG]
Testing numbers_000140.png . . . 0021 → 8028 | 2/4 · 50.00% | [WRONG]
Testing numbers_000141.png . . . 918 → 718 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000142.png . . . 5043287 → 104287 | 5/7 · 71.43% | [WRONG]
Testing numbers_000143.png . . . 52674165 → 52224868 | 4/8 · 50.00% | [WRONG]
Testing numbers_000144.png . . . 40522 → 40332 | 3/5 · 60.00% | [WRONG]
Testing numbers_000145.png . . . 50503 → 00503 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000146.png . . . 451614 → 451684 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000147.png . . . 59321 → 58521 | 3/5 · 60.00% | [WRONG]
Testing numbers_000148.png . . . 366608 → 366688 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000149.png . . . 86351511 → 86851581 | 6/8 · 75.00% | [WRONG]
Testing numbers_000150.png . . . 392828 → 382823 | 4/6 · 66.67% | [WRONG]
Testing numbers_000151.png . . . 44875750 → 44838350 | 5/8 · 62.50% | [WRONG]
Testing numbers_000152.png . . . 98473 → 83433 | 2/5 · 40.00% | [WRONG]
Testing numbers_000153.png . . . 34323855 → 24323855 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000154.png . . . 1529 → 1528 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000155.png . . . 33987 → 33982 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000156.png . . . 842 → 842 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000157.png . . . 26254104 → 26257809 | 5/8 · 62.50% | [WRONG]
Testing numbers_000158.png . . . 7722 → 8722 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000159.png . . . 8361431 → 8361431 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000160.png . . . 197130 → 193130 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000161.png . . . 73945526 → 73845526 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000162.png . . . 881619 → 881619 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000163.png . . . 317024 → 317028 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000164.png . . . 80243 → 80243 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000165.png . . . 79288600 → 88288600 | 6/8 · 75.00% | [WRONG]
Testing numbers_000166.png . . . 8837551 → 8237351 | 5/7 · 71.43% | [WRONG]
Testing numbers_000167.png . . . 0707 → 0807 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000168.png . . . 2268 → 2269 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000169.png . . . 9107809 → 9807808 | 5/7 · 71.43% | [WRONG]
Testing numbers_000170.png . . . 3717436 → 3318836 | 4/7 · 57.14% | [WRONG]
Testing numbers_000171.png . . . 9814294 → 8889284 | 3/7 · 42.86% | [WRONG]
Testing numbers_000172.png . . . 69790 → 69330 | 3/5 · 60.00% | [WRONG]
Testing numbers_000173.png . . . 7010 → 3010 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000174.png . . . 64644750 → 64644750 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000175.png . . . 31769393 → 31867793 | 5/8 · 62.50% | [WRONG]
Testing numbers_000176.png . . . 787 → 987 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000177.png . . . 786 → 726 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000178.png . . . 49583255 → 43583253 | 6/8 · 75.00% | [WRONG]
Testing numbers_000179.png . . . 332613 → 332583 | 4/6 · 66.67% | [WRONG]
Testing numbers_000180.png . . . 2318425 → 2318425 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000181.png . . . 389081 → 383088 | 4/6 · 66.67% | [WRONG]
Testing numbers_000182.png . . . 93465 → 93465 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000183.png . . . 8199 → 8888 | 1/4 · 25.00% | [WRONG]
Testing numbers_000184.png . . . 7353 → 3383 | 2/4 · 50.00% | [WRONG]
Testing numbers_000185.png . . . 861 → 821 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000186.png . . . 05983 → 09883 | 3/5 · 60.00% | [WRONG]
Testing numbers_000187.png . . . 7635678 → 3635628 | 5/7 · 71.43% | [WRONG]
Testing numbers_000188.png . . . 870438 → 830438 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000189.png . . . 44820 → 94820 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000190.png . . . 115 → 185 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000191.png . . . 94695 → 88295 | 2/5 · 40.00% | [WRONG]
Testing numbers_000192.png . . . 62563 → 62563 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000193.png . . . 8728101 → 8228101 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000194.png . . . 0201 → 0201 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000195.png . . . 320004 → 320028 | 4/6 · 66.67% | [WRONG]
Testing numbers_000196.png . . . 73015 → 73015 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000197.png . . . 039826 → 038050 | 2/6 · 33.33% | [WRONG]
Testing numbers_000198.png . . . 6077 → 6038 | 2/4 · 50.00% | [WRONG]
Testing numbers_000199.png . . . 0998 → 0888 | 2/4 · 50.00% | [WRONG]
Testing numbers_000200.png . . . 8363 → 8363 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000201.png . . . 4127382 → 4127382 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000202.png . . . 9119339 → 8118338 | 4/7 · 57.14% | [WRONG]
Testing numbers_000203.png . . . 921 → 828 | 1/3 · 33.33% | [WRONG]
Testing numbers_000204.png . . . 5864778 → 3864825 | 3/7 · 42.86% | [WRONG]
Testing numbers_000205.png . . . 27586384 → 27586384 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000206.png . . . 8798655 → 8788655 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000207.png . . . 405 → 405 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000208.png . . . 32481 → 32481 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000209.png . . . 288709 → 280808 | 3/6 · 50.00% | [WRONG]
Testing numbers_000210.png . . . 77015237 → 38015232 | 5/8 · 62.50% | [WRONG]
Testing numbers_000211.png . . . 7578986 → 2538886 | 4/7 · 57.14% | [WRONG]
Testing numbers_000212.png . . . 53583477 → 57553483 | 4/8 · 50.00% | [WRONG]
Testing numbers_000213.png . . . 5148 → 5848 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000214.png . . . 2945581 → 2895538 | 3/7 · 42.86% | [WRONG]
Testing numbers_000215.png . . . 70368 → 30328 | 3/5 · 60.00% | [WRONG]
Testing numbers_000216.png . . . 9812 → 9812 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000217.png . . . 92867 → 92863 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000218.png . . . 426892 → 426872 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000219.png . . . 01520 → 01520 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000220.png . . . 19744 → 18348 | 2/5 · 40.00% | [WRONG]
Testing numbers_000221.png . . . 430805 → 430805 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000222.png . . . 8380074 → 8380034 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000223.png . . . 140559 → 140258 | 4/6 · 66.67% | [WRONG]
Testing numbers_000224.png . . . 35284 → 35284 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000225.png . . . 0088528 → 0088828 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000226.png . . . 82750596 → 82850586 | 6/8 · 75.00% | [WRONG]
Testing numbers_000227.png . . . 777 → 382 | 0/3 · 0.00% | [WRONG]
Testing numbers_000228.png . . . 1548945 → 1098445 | 4/7 · 57.14% | [WRONG]
Testing numbers_000229.png . . . 026 → 026 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000230.png . . . 597853 → 502803 | 3/6 · 50.00% | [WRONG]
Testing numbers_000231.png . . . 449922 → 449922 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000232.png . . . 88993911 → 88882411 | 4/8 · 50.00% | [WRONG]
Testing numbers_000233.png . . . 506 → 506 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000234.png . . . 944462 → 844952 | 3/6 · 50.00% | [WRONG]
Testing numbers_000235.png . . . 1821659 → 1821658 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000236.png . . . 3059 → 5088 | 1/4 · 25.00% | [WRONG]
Testing numbers_000237.png . . . 5443 → 5443 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000238.png . . . 30977 → 30877 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000239.png . . . 2630720 → 2630720 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000240.png . . . 806 → 806 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000241.png . . . 0464 → 0864 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000242.png . . . 4391 → 4331 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000243.png . . . 46863382 → 468632282 | 6/8 · 75.00% | [WRONG]
Testing numbers_000244.png . . . 31418581 → 31418881 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000245.png . . . 329893 → 323873 | 4/6 · 66.67% | [WRONG]
Testing numbers_000246.png . . . 9159550 → 8153550 | 5/7 · 71.43% | [WRONG]
Testing numbers_000247.png . . . 93283 → 83283 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000248.png . . . 4913224 → 4813224 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000249.png . . . 976 → 476 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000250.png . . . 556847 → 436847 | 4/6 · 66.67% | [WRONG]
Testing numbers_000251.png . . . 50882 → 50882 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000252.png . . . 044 → 044 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000253.png . . . 2671 → 2621 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000254.png . . . 200 → 200 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000255.png . . . 364886 → 364285 | 4/6 · 66.67% | [WRONG]
Testing numbers_000256.png . . . 4771 → 4791 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000257.png . . . 06827768 → 06522368 | 5/8 · 62.50% | [WRONG]
Testing numbers_000258.png . . . 9543 → 8543 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000259.png . . . 952764 → 832864 | 3/6 · 50.00% | [WRONG]
Testing numbers_000260.png . . . 198435 → 190336 | 3/6 · 50.00% | [WRONG]
Testing numbers_000261.png . . . 8592 → 8882 | 2/4 · 50.00% | [WRONG]
Testing numbers_000262.png . . . 60580 → 60580 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000263.png . . . 83517 → 83587 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000264.png . . . 037 → 5237 | 1/3 · 33.33% | [WRONG]
Testing numbers_000265.png . . . 3851734 → 3351334 | 5/7 · 71.43% | [WRONG]
Testing numbers_000266.png . . . 22232 → 22232 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000267.png . . . 83540770 → 83540720 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000268.png . . . 2074982 → 3808180882 | 0/7 · 0.00% | [WRONG]
Testing numbers_000269.png . . . 766 → 366 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000270.png . . . 644 → 629 | 1/3 · 33.33% | [WRONG]
Testing numbers_000271.png . . . 368002 → 368006 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000272.png . . . 39236332 → 39280332 | 6/8 · 75.00% | [WRONG]
Testing numbers_000273.png . . . 479237 → 488232 | 3/6 · 50.00% | [WRONG]
Testing numbers_000274.png . . . 23251 → 23200 | 3/5 · 60.00% | [WRONG]
Testing numbers_000275.png . . . 5168 → 5865 | 2/4 · 50.00% | [WRONG]
Testing numbers_000276.png . . . 73207 → 73283 | 3/5 · 60.00% | [WRONG]
Testing numbers_000277.png . . . 9806 → 8806 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000278.png . . . 51032 → 31032 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000279.png . . . 251040 → 231040 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000280.png . . . 643 → 693 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000281.png . . . 7869951 → 7868951 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000282.png . . . 513 → 513 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000283.png . . . 22699 → 22699 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000284.png . . . 33383207 → 33383207 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000285.png . . . 791 → 871 | 1/3 · 33.33% | [WRONG]
Testing numbers_000286.png . . . 9025868 → 8027868 | 5/7 · 71.43% | [WRONG]
Testing numbers_000287.png . . . 815696 → 885686 | 4/6 · 66.67% | [WRONG]
Testing numbers_000288.png . . . 2030 → 2030 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000289.png . . . 5473 → 5773 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000290.png . . . 9504 → 8506 | 2/4 · 50.00% | [WRONG]
Testing numbers_000291.png . . . 01325 → 01325 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000292.png . . . 1563318 → 1563310 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000293.png . . . 2211598 → 2211588 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000294.png . . . 14958858 → 14848858 | 6/8 · 75.00% | [WRONG]
Testing numbers_000295.png . . . 680276 → 600286 | 4/6 · 66.67% | [WRONG]
Testing numbers_000296.png . . . 6118240 → 6113840 | 5/7 · 71.43% | [WRONG]
Testing numbers_000297.png . . . 368 → 368 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000298.png . . . 327081 → 322081 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000299.png . . . 31932841 → 31838848 | 5/8 · 62.50% | [WRONG]
Testing numbers_000300.png . . . 00869 → 00869 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000301.png . . . 330434 → 330834 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000302.png . . . 68425 → 68425 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000303.png . . . 767573 → 362573 | 4/6 · 66.67% | [WRONG]
Testing numbers_000304.png . . . 5416839 → 62816833 | 3/7 · 42.86% | [WRONG]
Testing numbers_000305.png . . . 5862 → 5822 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000306.png . . . 86362564 → 864268564 | 5/8 · 62.50% | [WRONG]
Testing numbers_000307.png . . . 195 → 135 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000308.png . . . 136998 → 136998 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000309.png . . . 41544326 → 88544326 | 6/8 · 75.00% | [WRONG]
Testing numbers_000310.png . . . 13134476 → 13134536 | 6/8 · 75.00% | [WRONG]
Testing numbers_000311.png . . . 99036317 → 870363871 | 4/8 · 50.00% | [WRONG]
